from_utc,to_utc,forecast_gco2_per_kwh,actual_gco2_per_kwh,index_label
2025-08-22 10:30:00+00:00,2025-08-22 11:00:00+00:00,139,138,moderate
2025-08-22 11:00:00+00:00,2025-08-22 11:30:00+00:00,141,143,moderate
2025-08-22 11:30:00+00:00,2025-08-22 12:00:00+00:00,137,142,moderate
2025-08-22 12:00:00+00:00,2025-08-22 12:30:00+00:00,137,138,moderate
2025-08-22 12:30:00+00:00,2025-08-22 13:00:00+00:00,139,133,moderate
2025-08-22 13:00:00+00:00,2025-08-22 13:30:00+00:00,140,130,moderate
2025-08-22 13:30:00+00:00,2025-08-22 14:00:00+00:00,133,131,moderate
2025-08-22 14:00:00+00:00,2025-08-22 14:30:00+00:00,139,135,moderate
2025-08-22 14:30:00+00:00,2025-08-22 15:00:00+00:00,139,139,moderate
2025-08-22 15:00:00+00:00,2025-08-22 15:30:00+00:00,146,149,moderate
2025-08-22 15:30:00+00:00,2025-08-22 16:00:00+00:00,155,165,moderate
2025-08-22 16:00:00+00:00,2025-08-22 16:30:00+00:00,157,181,high
2025-08-22 16:30:00+00:00,2025-08-22 17:00:00+00:00,172,188,high
2025-08-22 17:00:00+00:00,2025-08-22 17:30:00+00:00,181,195,high
2025-08-22 17:30:00+00:00,2025-08-22 18:00:00+00:00,198,202,high
2025-08-22 18:00:00+00:00,2025-08-22 18:30:00+00:00,200,205,high
2025-08-22 18:30:00+00:00,2025-08-22 19:00:00+00:00,210,210,high
2025-08-22 19:00:00+00:00,2025-08-22 19:30:00+00:00,214,209,high
2025-08-22 19:30:00+00:00,2025-08-22 20:00:00+00:00,220,211,high
2025-08-22 20:00:00+00:00,2025-08-22 20:30:00+00:00,218,210,high
2025-08-22 20:30:00+00:00,2025-08-22 21:00:00+00:00,213,204,high
2025-08-22 21:00:00+00:00,2025-08-22 21:30:00+00:00,212,198,high
2025-08-22 21:30:00+00:00,2025-08-22 22:00:00+00:00,203,195,high
2025-08-22 22:00:00+00:00,2025-08-22 22:30:00+00:00,197,191,high
2025-08-22 22:30:00+00:00,2025-08-22 23:00:00+00:00,198,182,high
2025-08-22 23:00:00+00:00,2025-08-22 23:30:00+00:00,199,180,high
2025-08-22 23:30:00+00:00,2025-08-23 00:00:00+00:00,189,174,moderate
2025-08-23 00:00:00+00:00,2025-08-23 00:30:00+00:00,180,174,moderate
2025-08-23 00:30:00+00:00,2025-08-23 01:00:00+00:00,186,178,moderate
2025-08-23 01:00:00+00:00,2025-08-23 01:30:00+00:00,176,180,high
2025-08-23 01:30:00+00:00,2025-08-23 02:00:00+00:00,176,180,high
2025-08-23 02:00:00+00:00,2025-08-23 02:30:00+00:00,183,181,high
2025-08-23 02:30:00+00:00,2025-08-23 03:00:00+00:00,186,181,high
2025-08-23 03:00:00+00:00,2025-08-23 03:30:00+00:00,187,183,high
2025-08-23 03:30:00+00:00,2025-08-23 04:00:00+00:00,189,189,high
2025-08-23 04:00:00+00:00,2025-08-23 04:30:00+00:00,185,188,high
2025-08-23 04:30:00+00:00,2025-08-23 05:00:00+00:00,190,182,high
2025-08-23 05:00:00+00:00,2025-08-23 05:30:00+00:00,193,181,high
2025-08-23 05:30:00+00:00,2025-08-23 06:00:00+00:00,189,180,high
2025-08-23 06:00:00+00:00,2025-08-23 06:30:00+00:00,184,174,moderate
2025-08-23 06:30:00+00:00,2025-08-23 07:00:00+00:00,189,172,moderate
2025-08-23 07:00:00+00:00,2025-08-23 07:30:00+00:00,179,166,moderate
2025-08-23 07:30:00+00:00,2025-08-23 08:00:00+00:00,178,158,moderate
2025-08-23 08:00:00+00:00,2025-08-23 08:30:00+00:00,169,149,moderate
2025-08-23 08:30:00+00:00,2025-08-23 09:00:00+00:00,155,139,moderate
2025-08-23 09:00:00+00:00,2025-08-23 09:30:00+00:00,147,132,moderate
2025-08-23 09:30:00+00:00,2025-08-23 10:00:00+00:00,137,126,moderate
2025-08-23 10:00:00+00:00,2025-08-23 10:30:00+00:00,130,127,moderate
2025-08-23 10:30:00+00:00,2025-08-23 11:00:00+00:00,128,129,moderate
2025-08-23 11:00:00+00:00,2025-08-23 11:30:00+00:00,128,136,moderate
2025-08-23 11:30:00+00:00,2025-08-23 12:00:00+00:00,135,141,moderate
2025-08-23 12:00:00+00:00,2025-08-23 12:30:00+00:00,135,139,moderate
2025-08-23 12:30:00+00:00,2025-08-23 13:00:00+00:00,138,143,moderate
2025-08-23 13:00:00+00:00,2025-08-23 13:30:00+00:00,142,146,moderate
2025-08-23 13:30:00+00:00,2025-08-23 14:00:00+00:00,144,147,moderate
